ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
MINISTERIO DE SALUD (MINSA) VER TODAS LAS DJIS,MINISTRO DE SALUD,ZAMORA MESIA VICTOR MARCIAL,FIRMADA 17/07/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=31528&llave=59PSC0WX&idet=2
MINISTERIO DE AGRICULTURA Y RIEGO (MINAGRI) VER TODAS LAS DJIS,MINISTRO,MONTENEGRO CHAVESTA JORGE LUIS,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34691&llave=E2BQFBOR&idet=2
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE) VER TODAS LAS DJIS,Ministro de Trabajo y Promocion del Empleo,SANCHEZ REYES CHRISTIAN ROMULO MARTIN,FIRMADA 23/04/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=14350&llave=LHN1LHP6&idet=1
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE) VER TODAS LAS DJIS,MINISTRA DE ESTADO EN EL DESPACHO DE TRABAJO PROMOCIÓN DEL EMPLEO,CACERES PIZARRO SYLVIA ELIZABETH,FIRMADA 20/07/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20770&llave=ZNFPCMYM&idet=3
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE) VER TODAS LAS DJIS,MINISTRO DE TRABAJO,RUGGIERO GARZON MARTIN ADOLFO,FIRMADA 26/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=41095&llave=2CEB4L06&idet=1
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE) VER TODAS LAS DJIS,MINISTRO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,PALACIOS GALLEGOS JAVIER EDUARDO,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=11436&llave=CZWLCXA2&idet=1
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO (MTPE) VER TODAS LAS DJIS,MINISTRO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,SHEPUT MOORE JUAN MANUEL KOSME,null,null
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRO,VALENCIA ESPINOZA ROGERS MARTIN,FIRMADA 19/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13105&llave=KN5WDEQX&idet=1
MINISTERIO DE COMERCIO EXTERIOR Y TURISMO (MINCETUR) VER TODAS LAS DJIS,Ministro de Comercio Exterior y Turismo,VASQUEZ VELA EDGAR MANUEL,FIRMADA 08/11/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=22690&llave=LKRQ2UKI&idet=4
MINISTERIO DE LA PRODUCCIÓN (PRODUCE) VER TODAS LAS DJIS,Ministra,BARRIOS ALVARADO ROCIO INGRED,FIRMADA 05/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13937&llave=HUGYXEPW&idet=1
MINISTERIO DE COMERCIO EXTERIOR Y TURISMO (MINCETUR) VER TODAS LAS DJIS,Ministra,SEMINARIO MARON MARIA MAGDALENA,null,null
MINISTERIO DE ENERGÍA Y MINAS (MEM) VER TODAS LAS DJIS,MINISTRO,ISMODES MEZZANO FRANCISCO ATILIO,FIRMADA 03/12/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=24379&llave=WTHZFU3P&idet=1
MINISTERIO DE ENERGÍA Y MINAS (MEM) VER TODAS LAS DJIS,MINISTRO DEL MINISTERIO DE ENERGÍA Y MINAS,LIU YONSEN JUAN CARLOS,FIRMADA 14/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33018&llave=KFQI65IW&idet=1
MINISTERIO DE ENERGÍA Y MINAS (MEM) VER TODAS LAS DJIS,MINISTRA DEL MINISTERIO DE ENERGÍA Y MINAS,VILCA ACHATA SUSANA GLADIS,FIRMADA 15/10/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=45685&llave=F7JQKDGR&idet=1
MINISTERIO DE ENERGÍA Y MINAS (MEM) VER TODAS LAS DJIS,MINISTRO DE ENERGÍA Y MINAS,BELAUNDE LLOSA RAFAEL JORGE,FIRMADA 07/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=41382&llave=HWO62FMN&idet=1
MINISTERIO DE ENERGÍA Y MINAS (MEM) VER TODAS LAS DJIS,MINISTRO DE ENERGÍA Y MINAS,INCHAUSTEGUI ZEVALLOS LUIS MIGUEL,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=14534&llave=MRJG2LPC&idet=1
