ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE TECNICA LEGISLATIVA,GUTIERREZ MENDIVIL INDIRA SOLEDAD,null,null
CONGRESO DE LA REPÚBLICA,RESPONSABLE DEL G.F. ALMACEN,HAYASHI BEJARANO FOLGGES LUIS,null,null
CONGRESO DE LA REPÚBLICA,RESPONSABLE DEL G.F. DE TRANSPORTES,HEREDIA QUINTEROS OSCAR GASTON,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HERESI CHICOMA SALEH CARLOS SALVADOR,FIRMADA 06/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35622&llave=D9WNMZBQ&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HERRERA AREVALO MARITA,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HIDALGO ZAMALLOA ALEXANDER,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE TRANSPORTES Y COMUNICACIONES,HILASACA GUTIERREZ JAIME RAFAEL,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE DEPARTAMENTO DE RECURSOS HUMANOS,HUAITALLA MAURICIO LUCY MILAGROS,FIRMADA 25/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34447&llave=OHRQPUV3&idet=1
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL GRUPO FUNCIONAL DE COMPRAS,HUALLPA TAPIA OBDULIA MERCEDES,FIRMADA 16/09/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=43806&llave=MM0XBPU4&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HUAMAN CHAMPI JUAN DE DIOS,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HUAMANI MACHACA NELLY,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,HUILCA FLORES INDIRA ISABEL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,IBERICO NUÑEZ LUIS CARLOS ANTONIO,FIRMADA 25/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=34395&llave=GUAB9LRC&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,IGLESIAS FERRER CESAR,FIRMADA 11/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=36011&llave=SUQORNIN&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,INGA SALES LEONARDO,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,JO JIMENEZ JUAN PABLO,FIRMADA 20/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33686&llave=45OCHGS1&idet=1
CONGRESO DE LA REPÚBLICA,ESPECIALISTA EN ADQUISICIONES DEL GRUPO FUNCIONAL DE COMPRAS,KITANO LA TORRE ELSI JUDITH,null,null
